Text;Label
Hello, the airconditioning system in my office is making strange loud noises. Could you please help me with this? Thanks.;Facility Management
Hey, I know that some departments were moved due to facility-based changes in our company. Can you please tell me where our HR team is placed now? If I don't sign my contract in time, it will not get extended;Facility Management
Good afternoon. Could you please update the online cantina's lunch menu plan? Otherwise we don't know which cantina to use or where to grab some food for lunch;Facility Management
Hi, I have a following question. I am unable to download any data from the servers, as if I am not in the internal network. I have checked and the vpn connection seems to be fine. Could you help me with this?;IT
when my colleagues make any changes to the shared word files I don’t see any of their changes - they can see mine though. Is there a way ti fix this? Thanks;IT
I cannot open my office cabinets, I think I have lost the key somewhere. Can you help me get inside? I have some important documents in there. Thank you;Facility Management
When is the release of our new career consulting tool? I am at the same position for already 6 years. My manager says there is no upgrade possible due to the budget. Can you provide me any information? Thanks…;HR
Dear HR team, I read that our company offers a kindergarten for employee's children. How can I use it? Thanks!;HR
I would need request documents for a refund of my business trips. Can you send me these documents please? Thank you in advance.;HR
A frosty hello from Walldorf, me and my colleagues have recognized that the heating system does not work at all. How shall one work if we have like +14 in the office? Thanks!;Facility Management
Hello, I would like my status in teams and skype to be hidden, i.e. offline/away even when I am working. I am changing it but after a few hours it comes back to showing I am online. Is there a way to make these changes permanent or at least stay for longer?;IT
I can't connect my monitors to electricity… I plug them in but they do not turn on, I assume a problem with connection. What are my next actions to fix the problem?;IT
Hello, I have a business trip in 2 weeks to india. Am I allowed to use my business mobile there or how can I communicate from there?;HR
hi, a following question. Where do I need to return all my hardware? Shall I just come to the it stand or is there a specific place? Thanks!;IT
Hello guys! I am not an expert but I think the grass in the backyard started to rot. Maybe you send out some expert to fix our beautiful lawn.;Facility Management
Hey team, there is a strange smell coming out of the ventilation system in building 18. Could you please check that as soon as possible?;Facility Management
Hey, my current secretary retires at the end of the year. Can you create an internal job ad which should be sent to all secretaries in our company? I know that some departments have too many secretaries but we have ZERO at the end of the year;HR
Hey, who is reponsible for human resource budgeting? My department's revenue grew by 28% and you decide to shorten by budget? Is this a joke?;HR
Hey, I am Herbert Mueller, I got hired for the full-time position as supply chain consultant. My future manager wanted me to start in April, which is already in 3 weeks, but I still haven't received any documents from your side. Can you please help me here? Thanks;HR
Hello I just received my last payroll. There you take off church taxes from my loan, which is incorrect because I left the church already five years ago. Please correct that.;HR
"Hello due to Covid we should work from home. My question is: How shall we enter our working time now? I mean, we do not have a ""time card system"" at home…";HR
"Dear to whom it may concern, your security department is kept busy eating donuts. Maybe they should start doing what they are paid for? For some reason, people who obviously dont work at our company entered the parking lot and were ""chilling"" and hanging out and smoking weed. How can you allow such faces to enter our territory? What if some of them are spying or want to damage our cars?!?!! To be honest, I dont feel save working in here anymore.";Facility Management
My headset is not charging anymore - I know it is fully functionable because I can still use it with a cable but when I use blutooth it doesn't turn on (and says battery low). Can you help me?;IT
For some reason most of the features are disabled for me in MS teams. I cannot open files most of the time and even if I do I am unable to edit them.;IT
Hello, I as a manager want to employ two more people to my team and have received my manager's approval. What are my next steps? Thank you;HR
Hey, I know that our company is sponsoring professional e-sports teams. 2 years ago we even had a League of Legends tournament. Will there be a similar event in the near future? My team and I are higly interested in that;HR
I have a question - is there a way I can disable touchscreen on my laptop? I keep accidentally touching screen and it reacts which I find very irritating. Thank you;IT
IT is hard to enter the bathroom with a wheelchair as the door is quite heavy. Can we maybe implement a door opener button somehow? Thanks!;Facility Management
Hey I just wanted to ask on which position of the waiting list I am for the parking slots. Would be nice If you could tell me that I have gone up a few spots.;HR
Hey! At a certain period of time, I see that we receive less electricity than we should have. This happens usually after 3 pm on Thursdays: The light loses brightness, the phones charge slower;Facility Management
I don't have a company car for now but our company offers some subsidized technical inspection on the company territory. Where can I find this garage?;Facility Management
My issue is as follows. We have a big office plant in our office. However, it has died and now is completely dry. Could you please remove it from the office or give any specific instructions where to place it?;Facility Management
Hello, I accidentally broke my laptop screen, can I come over to see if it can be repaired? ;IT
Hello I wanted to ask if there is a possibility to get a macbook as a laptop for work? I have been using wondows but would like to try macOS as my colleagues say it is a lot more comfortable. I would return my widows laptop of course;IT
Hey can you tell me which requirements I need to fulfill to get a job promotion in my department?;HR
Hey! As we need to work from home now, I wanted to ask if the company does subsidize chairs and ergonomic desks? ;HR
Hey, I need to hire a russian speaking student as we have more and more customers from Belarus, Russia, Kazakhstan and Ukraine. What if the applicant is not a German citizen? How does that change the application process and the work conditions?;HR
Hey,  I had an car accident with the company car. I was hit by a truck. The car is a mess. Can we maybe have a call where we discuss the further steps, e.g. how can I get a new car etc.;HR
Hello, is there a possibility to sign my new contract online and not per mail? I am currently abroad and have no acces to my postbox, thank you!;HR
My heating system does not work, it is very cold in my office. Could you please help me further? Thanks.;Facility Management
There seems to be an issue with my webcam - it turns on automatically by itself in meetings where I don't want it. Is there a way to disable this automatic switching on? Thanks;IT
Hello! I am a big football fan and saw the pitch beside our office. How can I register to play there? Which shoes are allowed? Thanks!;Facility Management
Hi, we ran out of soap in the bathroom on floor 4 in building 3, can we please have someone come over and refill?;Facility Management
hello my printer settings have disappeares from my laptop and now I am unable to print. I can't install rinter drivers without IT admin permissions. Help me please?;IT
I have moved and need to change my address, if I try to do this in portal it won’t let me do any data changes. can you please fix this? Or will it be ok if I just tell you my new address and you update it for  me?;IT
After the recent update some of my work files were displaced. I can see via search function that they still exist on my pc but I can't find a path to them or open. Can someone assist me on the matter?;IT
The ventilation in smoking area in building 3 is not working properly anymore, could someone please have a look? It would be highly appreciated;Facility Management
"hey folks, I appreciate the big choice of drinks in our coffee corner but can we somehow influence this choice? Would be great to have fair trade coffee and not only ""the cheapest"".";Facility Management
Dear team, please check out the sensors in our parking area. Today, the screen told we had 59 free spots but in fact, no spots were left but the parking sensors did not register them. Please have a look at it. If I knew earlier, I would not have even entered our P1;Facility Management
when I enter date in excel it put it in wrong format. There is no dd.mm.yyyy format in the choice. Could comeone look into this?;IT
Hey guys, the sidewalk is slippery due to the ice. Someone can hurt him or herself seriously. Please put some salt on it. Thanks;Facility Management
Hi. Can you please check your room booking system? Somehow, another team booked our requested room for the same day and the same time. Some colleagues came to the office only because of this meeting. Please check that bug;Facility Management
Hi! My doctor told me I should try working while standing and not sitting which is good for my back. How can I get a height adjustable table for my office? Thanks!;Facility Management
hey, I remember that some rooms should not be shown to public due privacy. May I show my customer the VR room in our company? They are interested in this technology but have no experience. How can I book the room if I am allowed to do it for this purpose?;Facility Management
Hey! I am an intern until June. The system says I can have 20 days of vacation. What if I do not use these 20 days until June? Can these days be paid of after my leave?;HR
Hey, I would like to get my staff budget extended. We have fulfilled all goal and our growth was phenomenal. If it is possible, please organize a call;HR
Hey! I started working as a data scientist in January but I must say, as I have my major in social studies, I am very overwhelmed with the IT things I should know but don't know. Can you maybe offer me some courses?;HR
Hey I requested my away on leave already a month ago but still nobody accepted or declined my request. What should I do about that?;HR
hello I am having a problem with the internal portal. The page does not load even though all other websites work fine, so this can't be internet connection issue. What should I do? ;IT
hello, I have read the corporate ms teams tutorial but still cannot find the function to disable waiting room, could you pleas ehelp me?;IT
Hi… I was a witness of a sexistic discrimination against my coworker. Who shall be contacted for such a case?;HR
Hi, how am I going to receive my final salary payment overview if I am not working for the company anymore? Wil lit be sent per post? I am leaving the company soon and thus will not have access to my personal payroll slip. Thanks;HR
hello, our dishes for food and drinks were not cleaned since last Friday. Can anyone help us, please?;Facility Management
Hello, how do I apply for the courses that I would like to attend? I see them in the learning catalog but I cannot book them. Thanks;HR
I need specific adapters for my mac to be able to connect them to big screens. Where could I get these? Do I just get them from it desk or I need tu buy them separately online?;IT
Wifi at mylocation is not working correctly, I need to login again every 10 minutes which makes my work difficuly to accomplish.;Facility Management
good morning, at my previous employer we had yoga sessions in the morning. This helped me and my productivity a lot. HR told me, that you have a special room for this activity. Where can I find it?;Facility Management
hello, my timesheet application keeps kicking me out whenever I am trying to capture my worktime. I am afraid I will get introuble with payroll if this does not get fixed. Can I get any assistance on this?;IT
hey, the coffee machine needs to be cleaned (That's what the display says). I cannot work productively without my morning drink;Facility Management
I cannot make zoom calls from my iphone. I have downloaded the app and logged in but it still won't allow me join meetings. I have also tried reinstalling the app or resetting the phone. Can somone help me please?;IT
Hey, please check the ventilation. It sounds like some animal is running up and down in Building 12;Facility Management
Hey team, I would like to host an internal event on how we managed to help our customer with the implementation of IoT and Blockchain. I know that our story needs to be heard as our story is a game changer for the industry. Whom do I have to contact to plan and host it? thanks!;Facility Management
Good morning. My headphones do not work anymore - what shall I do? Shall I order the new ones or bring them to somone in the IT to have a look and repair them? thanks ;IT
how do I arrange an appointment to change my it hardware?;IT
Hi, I have a question about contract signing. Do I need to send you my signed contract per post or will it be enough if I send it per email? Thank you;HR
Hey I  come to work everyday by my bike and got it now stolen for the second time. Could you please think about establishing something like a bycicle garage or basement? That would be very nice. Thank you in advance. ;HR
There is no more paper in the printers in building 10 so I can't print important documents for the customer. It would be great if someone refilled the printers.;Facility Management
Good morning! I see that our company has great relationships with Eastern Europe and China. The best deals are closed with these regions. Will there language courses for Russian or Chinese available? Which language course do we have now? Thanks;HR
Hello I accidentally dropped my corporate phone and the touchscreen broke which makes it impossible to work. How long will it take for me to receive a new one? And what are m next steps? Thank you;IT
Hey I wanted to apply internal to an job offer from another department. You should have all my documents already through my current job, do I still have to hand in my documents again?;HR
hello, the phone in office 311 is not working, how can I fix it? Thanks;Facility Management
Hey, can I have a new door for my office? Or could anyone have a look at my door? The sound isolation is horrible and I can hear my colleagues as if they were in my room.;Facility Management
Hey, there is some construction work going around beside building 8. What will be in that new fancy building? A new gym?;Facility Management
The coffee corner on the 3rd floor is out of milk for coffee, can someone please refill? Thanks.;Facility Management
Hello, the usb ports on my laprop stopped working, I cant connect mouse etc. I have tried restarting but still doe not work. Could you assist?;IT
We currently have too much work to handle in our department, is it possible to extend our contracts from 37 hours per week to 40? Or alternatively to abolish our overtime hours limit for the next few months?;HR
We need to hire an additional employee in our department, which permissions do you need to start the hiring process?;HR
Hello, is the company going to cover my visa expenses to travel for business? Thank you;HR
Every department has its own post box for the internal shipping of letters. Ours was not cleared for like 2 weeks already. I was forced to carry all the letters manually to our internal post office as we need to sign a contract with the sales team for the team budget asap;Facility Management
I have a following question: I have ordered a new company phone. After I receive new company phone, how can I transfer all my data from the old phone to the new one? Thank you!;IT
My computer does not charge and I don't have much battery power left - I am unable to work like this… what are my actions? Thank you;IT
How can i get an appointment at the company's manual therapist?;HR
I am unable to install any addons to my chrome browser, I keep getting a popup that this feature is disabled on this pc by company it admin. Is there still a way I could install an addon like e.g. adblocker? Thanks;IT
I have an issue with my computer mouse - the adapter seems to have stopped working. I know it is not the mouse (at least not the batteries). Could you help me with this?;IT
Hello I broke my laprop by accident, can I get a new one? Also, am I going to have to pay for breaking it? It was a mere accident, thanks;IT
A following issue. When I enter my credentials when I turn on my pc, I get an error message thet my user number does not exist. What could be the reason? I have worked here for quite a while already and don't know what the deal is;IT
Hi, what is the general procedure of upgrading my current hw (phone and laptop) to the newer one? Thank you;IT
Good day. I am requested to upload my study certificate on the portal because new uni semester began. I get redirected to the portal but can't upload any files. Could you assist me? thanks;IT
Hi! I dont know what to say but this is urgent and nothing like this ever happened to me in this company. Today I my customer call ended at 2pm. I ran to the bathroom as the next call was about to start. When I returned, I recognized that my company iPhone 12 PRO had disappeared... I hope you have video recordings to find this beast. How can anyone steal things in our office?!??!;Facility Management
I cannot make calls in ms teams anymore - as soon as the conversation begins I am beimg kicked out and cannot rejoin. Could you help me resolve the issue? It is very frustrating;IT
hello, how can I change my corporate email address? Who do I need to contact? Thank you;IT
hello I can'tnprint any documents from my pc. It says my client is wrong. Could you please help me?;IT
Hello I was watering plants and spilled water on my laptop keyboard. It first worked fine but after 5 mins it went all dark and blinking white. Can you please help me?;IT
Hello, what are the steps I need to undertake in case I have forgotten my global password? Who do I nedd to contact? It has nor happened but I want to know just in case. Thank you;IT
Hello, I have a following problem. There is a big lagging issue with my touchpad. So whenever I move my finger across, it takes like 5-10 seconds for my cursor to move on the screen. Could somone please help me?;IT
Hello what documents do I need to put together if I have decided to resign? And how much in advance do I need to finish the procedure before my contract is terminated? ;HR
My laptop camera stopped working after the last qindows update. Could you help me with it? ;IT
Hey, I received an application from a phenomenal candidate and we really need to hire her. Can you maybe help me with the employment process?;HR
Hi, my please extend the contract of our working student Charles Mannheimer by 3 months. Please provide me an update;HR
"Hey, when is the next ""Women in IT"" event? It was awesome for networking";HR
I have a following question. I have received an email that some of the programs I have installed on my laptop are not compliant with company policy and I must deinstall them. What should I do if I need these programs for work? Thanks;IT
hello could you please tell me which specific hardware do I need to return after I leave company? I have a bunch of things and might lose an overview, so a complete list of things I need to return would be helpful. thanks;IT
Buenos dias, I just got internally transferred to London. HR promised to help me with the transfer to my new location. I know that there are 6 months to go but I am a bit worried regarding the living and how I am supposed to carry my property to London. Thanks;HR
I don’t know what is wrong with my webcam but whenever I turn it on it trembles a lot. In a way it looks like there's an earthquake. Can I have someone to have a look at this issue?;IT
Hi, I can't open my microsoft office applications, it requires me to sign in. If I enter my work credentials they are said to be incorrect. What should I do?;IT
Good day. I am a new employee and have still not received all my hardware. Could you please update me on the status of things that have been ordered for me?;IT
Hey, thanks for helping us to hire a new consultant. However, there is some error in the people system. I am his manager but in the people's portal his manager is Richard Wagner for some reason…;HR
Hi, is there a way that the hardware (laptop, phone, simcard) I ordered gets delivered to my home (I only work from homeoffice) or do I need to come personally to the office? ;IT
Hey! I read that our company offers a lot of opportunities to strengthen the health. I know we have a gym but which other sports activities are offered?;HR
Hello I need assistance with my keyboard. Letters A and P as well as sometimes G do not work. (I had to copy paste these into the ticket). Can someone please help me with this?;IT
Hello I am new at the firm. I need headphones and a mouse - what shall I do to get them? ;IT
Hey I really need urgently a day off from work due to familiy problems but my boss does not grant me this one day. What can I do about that?;HR
Hey! I read that our company offers a lot of opportunities to strengthen the health. I know we have a gym but which other sports activities are offered?;HR
Good Morning. I am writing to you from my phone because I cannot be authorized on my laptop. I enter the correct credentials but at this step the computer starts to load and then gives me a loading error message (NOT password incorrect message). What might be the reason and what should I do?;IT
Can I use the specified software for signing contract documents like e g docusign or do I have to hand you in a physical copy thank you;HR
Good morning. I would like to know whether HR will know automatically on which days and where to register and payout vacation days to me? Or do I need to inform them? Thank you;HR
after the last software update none of the office printers can be connected to my computer/account. I did not make any changes myself. What can I do to fix it?;IT
Hey, I applied for the company's stock program but no single stock was transferred to my account. Can you elaborate on that?;HR
Hey team, I am preparing to change my current job but I want to stay in the company. Can you help how to do it?;HR
my pc does not recognise any of the accessories I am trying to connect to it, not a mouse, keyboard or headset. Can I please show it to you? Thank you;IT
Hello, I still did not receive my transponder to get into the office. Can you tell me how long it will take to get one?;HR
Hey, at my previous employer we had yearly summer parties. Do you organize such events too?;HR
I read that one company benefit is the program to purchase cheap company shares. How can I participate?;HR
Hello do I need to pay if I by accident break any of the company hardware that was given to me? Thank you;IT
I have a following question. I just started work here and need a headset. Do you give them out just like laptops etc or do I need to order it somehow? Thank you;IT
I cannot access any files in MS teams from my phone. I know I have access but the files just won't open. Could you please assist me?;IT
I have a problem with my laptop - my touchpad stopper responding suddenly and does not work anymore. Could someone help me?;IT
Hello HR team! I have a question: May I contact you if I have suggestions for improving our benefits? Some companies are shortening the work week. E.g. Microsoft in Japan works only from Monday to Thursday. Is that something for our company too?;HR
Hello I am noticing that my laptop's life without charging is reducing slowly but steadily. A month ago it could live for 2.5-3 hours without charging - now only 1 h. Could I get assistance on having it repaired? ;IT
hello. My computer keeps restarting automatically every 15 minutes, what should I do to have it fixed/changed? Thank you;IT
My problem is as follows: I cannot see my payslip updates in the portal. Thank you.;IT
my office programs are in german. Can I switch it to english somehow?;IT
Hello, I want to dissolve my job contract, could you tell me how we will proceed?;HR
Hello, can you help me with the following. Where and how shall I return all my hardware before I leave the company?;IT
Hello, I cant go into my time recording page and have my work hours documented. Do yoou know what the issue might be and help me fix it? Thanks;IT
What documents do I need to prepare to employ two more colleagues to my team? thank you!;HR
Hey, my salary should have increased from 4400 Euro to 4600 Euro last month. Yesterday, I was paid 4400 again, please explain that;HR
Hello I would like somone to have a look at my keyboard - it is not working properly since a week now. Can I get an appointment? Thanks;IT
Hello, I have received a leaver checklist even though my contract is extended. Do I still need to fill it in before my current contract expires or can I just ignore it?;HR
Hello, do we have a corporate license to use mural as a whiteboard tool? It is useful for online workshops but I would like to know if I need to apply for license or who will take the costs. Thank you;IT
As we have the dogs-allowed-policy, I would like to know why there is no policy which allows cats? Due to the job, my kitty is alone at home for about 10 hours. I don't want her to become depressed.;HR
Hey! I have a very talented working student who asked me if we offer a dual curriculum in data science.I haven't seen such a position in our portal but I know that one university in Darmstadt offers that. We really need to keep this guys in our company. Please please please help me and him to get this dual curriculum organized. It should be a dual master curriculum;HR
Who is charged for my participation in non-mandarory training that is not free? My department or me personally? Thanks;HR
hello, the search functionality in the software store does not work properly, it freezes everytime I look for the program I need. I know it is available but I can't find it. Can someone help me?;IT
The function to see my payroll slip has disappeared after the recent update.;IT
Hey, I can you offer these amazing trainee programs for graduates. Unfortunately there are no open vacancies for now. Do you maybe when they will open? Thanks;HR
Hello, we are looking for a new team member. Could you please add a job posting with a following description? Thanks;HR
There is something wrong with my laptop battery - it dies within 20 minutes even if I make sure the laptop is fully charged. It significantly reduces my flexibility. Can I have my battery exchaged? I have a Lenovo T480 laptop. ;IT
